Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Assignee,Labels
Epic,"EP-1 — Messaging Infrastructure","Goal:\nEstablish backend messaging service enabling real-time bidirectional messaging with <5s latency.\n\nScope In:\n- Messaging backend service (API MNG)\n- Real-time delivery mechanism (WebSocket, SSE, or equivalent)\n- Message routing between dispatcher and driver\n- API contracts for send/receive\n- Security (HTTPS/TLS, encryption in transit)\n\nScope Out:\n- UI implementation (EP-2, EP-3)\n- Push notifications (EP-4)\n- Message storage beyond in-flight (EP-5)\n- Attachments (EP-6)\n\nPRD Coverage:\n- FR-3 (Real-time message delivery)\n- NFR: Performance (<5s latency)\n- NFR: Security (HTTPS/TLS)\n\nDependencies:\n- API MNG — Messaging backend implementation\n- INFRA — Real-time infrastructure provisioning\n\nSuccess Metric:\n- P95 message delivery latency <5s in pilot\n\nRisks:\n- Architecture spike required to select infrastructure approach\n- Latency may exceed target under poor network","Messaging Infrastructure","","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-1,fr_FR-3,prio_must,phase_1"
Epic,"EP-2 — Driver Chat Experience","Goal:\nDrivers can view incoming messages from dispatchers and send replies within EW Navigation App.\n\nScope In:\n- Chat UI in EW Navigation App (iOS + Android)\n- Conversation list view\n- Message thread view\n- Compose and send message\n- Display dispatcher context\n\nScope Out:\n- Push notification handling (EP-4)\n- Attachments (EP-6)\n- Read receipts display (EP-7)\n\nPRD Coverage:\n- FR-2 (Driver can view and respond to messages)\n- FR-6 (partial — driver side context)\n\nDependencies:\n- MOBILE APP — Chat UI implementation\n- EP-1 — Messaging backend available\n- CIAM — Driver identity and company linkage\n\nSuccess Metric:\n- % of pilot drivers who send at least one message\n\nRisks:\n- Driver logged into Navigation with company linkage (assumed)\n- Usability concerns (distraction during driving)","Driver Chat Experience","","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,fr_FR-6,prio_must,phase_1"
Epic,"EP-3 — Dispatcher Chat Experience","Goal:\nDispatchers can initiate and manage chats with drivers within EW Office web.\n\nScope In:\n- Chat UI in EW Office web\n- Driver selection / list integration\n- Conversation list and thread view\n- Compose and send message\n- Display driver/vehicle context\n\nScope Out:\n- Broadcast messaging (EP-8)\n- Search and filtering (EP-9)\n- Attachments (EP-6)\n\nPRD Coverage:\n- FR-1 (Dispatcher can initiate chat with driver)\n- FR-6 (Driver/vehicle context in conversation)\n\nDependencies:\n- EWO — Chat UI implementation\n- EP-1 — Messaging backend available\n- CIAM — Dispatcher identity\n\nSuccess Metric:\n- % of pilot dispatchers who initiate at least one chat\n\nRisks:\n- Dispatcher has visibility of drivers linked to their company (assumed)\n- Integration complexity with existing EW Office UI","Dispatcher Chat Experience","","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,fr_FR-6,prio_must,phase_1"
Epic,"EP-4 — Push Notifications","Goal:\nDeliver real-time push notifications for new messages to both drivers (mobile) and dispatchers (web/desktop).\n\nScope In:\n- Push notification infrastructure (APNs, FCM)\n- Notification triggers on new message\n- Notification content and deep linking\n- Background delivery handling (mobile)\n- Web notifications for dispatchers (optional)\n\nScope Out:\n- Notification preferences / mute (future)\n- Notification history (future)\n\nPRD Coverage:\n- FR-4 (Push notifications for new messages)\n\nDependencies:\n- MOBILE APP — iOS/Android push handling\n- INFRA — Notification service\n- EP-1, EP-2, EP-3 — Messaging flow triggers\n\nSuccess Metric:\n- Push notification delivery rate ≥95%\n\nRisks:\n- Driver device has push notifications enabled (assumed)\n- Android battery optimization may delay delivery","Push Notifications","","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-4,fr_FR-4,prio_must,phase_1"
Epic,"EP-5 — Message Persistence & History","Goal:\nPersist all messages and enable retrieval of conversation history for at least 90 days.\n\nScope In:\n- Message storage (DATA team)\n- Retrieval API (API MNG)\n- Retention policy (90 days minimum)\n- Audit trail (timestamps, sender/receiver IDs)\n- Encryption at rest\n\nScope Out:\n- Search/filtering (EP-9)\n- Export functionality (future)\n\nPRD Coverage:\n- FR-5 (Message history persistence)\n- NFR: Security (encrypted at rest)\n- NFR: Compliance (GDPR, audit trail)\n\nDependencies:\n- DATA — Message storage implementation\n- API MNG — Retrieval API\n- Legal — GDPR/compliance review\n\nSuccess Metric:\n- 100% of messages retrievable for 90 days post-send\n\nRisks:\n- GDPR/data retention policy review completed before go-live (critical)\n- Data residency requirements unclear","Message Persistence & History","","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-5,fr_FR-5,prio_must,phase_1"
Epic,"EP-6 — Attachments & Media","Goal:\nEnable dispatchers and drivers to send and receive attachments (images, PDFs) within chat.\n\nScope In:\n- Image upload/download (mobile + web)\n- PDF upload/download\n- File size and type validation\n- Attachment storage\n\nScope Out:\n- Video attachments\n- Audio messages\n\nPRD Coverage:\n- FR-7 (Attachment support)\n\nDependencies:\n- MOBILE APP — Attachment UI\n- EWO — Attachment UI\n- INFRA — Attachment storage\n- EP-1, EP-2, EP-3, EP-5 — Foundation\n\nSuccess Metric:\n- % of messages with attachments (Phase 2 baseline)\n\nRisks:\n- Storage cost scaling with attachment volume","Attachments & Media","","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-6,fr_FR-7,prio_should,phase_2"
Epic,"EP-7 — Read Receipts & Status","Goal:\nDisplay message delivery and read status (sent, delivered, read) to the sender.\n\nScope In:\n- Delivery status tracking (sent → delivered)\n- Read status tracking (delivered → read)\n- Status display in UI (both platforms)\n\nScope Out:\n- Typing indicators\n\nPRD Coverage:\n- FR-8 (Read receipts and delivery status)\n\nDependencies:\n- API MNG — Status tracking logic\n- MOBILE APP — Status display\n- EWO — Status display\n- EP-1, EP-2, EP-3 — Foundation\n\nSuccess Metric:\n- Read receipt accuracy ≥99%\n\nRisks:\n- None significant — standard messaging pattern","Read Receipts & Status","","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-7,fr_FR-8,prio_should,phase_2"
Epic,"EP-8 — Broadcast Messaging","Goal:\nEnable dispatchers to send a single message to multiple drivers simultaneously.\n\nScope In:\n- Multi-driver selection in EW Office\n- Broadcast send functionality\n- Message delivery to multiple recipients\n\nScope Out:\n- Group chat (replies visible to all)\n- Driver-to-driver messaging\n\nPRD Coverage:\n- FR-9 (Broadcast messaging)\n\nDependencies:\n- EWO — Broadcast UI\n- API MNG — Broadcast delivery logic\n- EP-3, EP-5 — Foundation\n\nSuccess Metric:\n- Number of broadcast messages sent per week\n\nRisks:\n- Scope creep toward group chat","Broadcast Messaging","","Could","","initiative_ew-navigation-chat,source_cursor,ep_EP-8,fr_FR-9,prio_could,phase_2"
Epic,"EP-9 — Search & Filtering","Goal:\nEnable dispatchers to search message history and filter conversations by driver, date, or keyword.\n\nScope In:\n- Search by keyword\n- Filter by driver\n- Filter by date range\n- Results display in EW Office\n\nScope Out:\n- Search on mobile (driver app)\n\nPRD Coverage:\n- FR-10 (Conversation search and filtering)\n\nDependencies:\n- EWO — Search UI\n- DATA — Search indexing\n- EP-5 — Message storage\n\nSuccess Metric:\n- Search query response time <2s (P95)\n\nRisks:\n- Search performance at scale","Search & Filtering","","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-9,fr_FR-10,prio_should,phase_2"
Epic,"EP-10 — Scale & Analytics","Goal:\nOptimize performance for high-volume fleets and deliver an adoption analytics dashboard.\n\nScope In:\n- Performance tuning for high-volume customers\n- Adoption metrics dashboard (customer adoption rate, message volume)\n- FMS tablet proposition integration readiness\n\nScope Out:\n- New features beyond optimization\n\nPRD Coverage:\n- Phase 3 scope: Performance optimization, analytics dashboard\n\nDependencies:\n- All prior epics — Foundation\n- DATA — Analytics dashboard\n- FMS — Tablet integration\n\nSuccess Metric:\n- Customer Adoption Rate tracked and visible in dashboard\n\nRisks:\n- Scaling issues discovered late","Scale & Analytics","","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-10,prio_should,phase_3"
Story,"US-EP1-01 — Architecture spike for messaging infrastructure","User Story:\nAs a technical lead, I want to evaluate messaging infrastructure options (WebSocket, Firebase, custom), so that we can select an approach that meets latency and cost requirements.\n\nScope Notes:\nSpike only; no production code. Deliverable is a recommendation memo.\n\nPRD Requirement(s): FR-3\n\nDependencies:\n- INFRA (infrastructure options)\n\nAcceptance Criteria:\n- Given the need for real-time messaging\n  When the spike is completed\n  Then a recommendation memo documents infrastructure options, latency benchmarks, cost estimates, and a recommended approach\n- Given the recommendation\n  When reviewed by stakeholders\n  Then a decision is made and documented before full build begins","","Messaging Infrastructure","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-1,fr_FR-3,prio_must,phase_1"
Story,"US-EP1-02 — Messaging backend service setup","User Story:\nAs a backend engineer, I want to implement the messaging backend service, so that messages can be routed between dispatchers and drivers in real-time.\n\nScope Notes:\nCore routing logic; no UI, no persistence, no push notifications.\n\nPRD Requirement(s): FR-3\n\nDependencies:\n- Architecture spike (US-EP1-01)\n\nAcceptance Criteria:\n- Given a dispatcher sends a message\n  When the message is submitted to the backend\n  Then it is routed to the target driver's session in <5s (P95)\n- Given a driver sends a reply\n  When the reply is submitted\n  Then it is routed to the dispatcher's session in <5s (P95)","","Messaging Infrastructure","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-1,fr_FR-3,prio_must,phase_1"
Story,"US-EP1-03 — API contracts for send/receive","User Story:\nAs a frontend developer, I want documented and versioned API contracts for sending and receiving messages, so that I can integrate the chat UI reliably.\n\nScope Notes:\nAPI documentation, versioning, error handling.\n\nPRD Requirement(s): FR-3\n\nDependencies:\n- US-EP1-02\n\nAcceptance Criteria:\n- Given the messaging backend is implemented\n  When API contracts are published\n  Then send/receive endpoints are documented with request/response schemas, error codes, and versioning\n- Given the API documentation\n  When reviewed by mobile and web teams\n  Then integration can proceed without ambiguity","","Messaging Infrastructure","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-1,fr_FR-3,prio_must,phase_1"
Story,"US-EP1-04 — Security: TLS and encryption in transit","User Story:\nAs a security engineer, I want all messages transmitted over HTTPS/TLS, so that communication is secure in transit.\n\nScope Notes:\nEncryption in transit only; encryption at rest covered in EP-5.\n\nPRD Requirement(s): NFR (Security)\n\nDependencies:\n- US-EP1-02\n\nAcceptance Criteria:\n- Given a message is sent from client to server\n  When transmitted\n  Then it uses HTTPS/TLS\n- Given a message is delivered from server to client\n  When transmitted\n  Then it uses HTTPS/TLS (or WSS for WebSocket)","","Messaging Infrastructure","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-1,prio_must,phase_1"
Story,"US-EP2-01 — Driver views conversation list","User Story:\nAs a Company Driver, I want to see a list of my conversations with dispatchers, so that I can quickly find and access messages.\n\nScope Notes:\nList view only; individual thread view in US-EP2-02.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- EP-1 (messaging backend)\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Allow driver to quickly scan and access conversations\n- Show unread indicator and most recent message preview\nDesign Constraints:\n- Minimal distraction — driver-first UX\n- Must be accessible when vehicle is stopped\n- Consistent with EW Navigation design system\n\nAcceptance Criteria:\n- Given I am logged into EW Navigation with a company linkage\n  When I open the chat section\n  Then I see a list of conversations sorted by most recent message\n- Given I have no conversations\n  When I open the chat section\n  Then I see an empty state indicating no messages yet","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-02 — Driver views message thread","User Story:\nAs a Company Driver, I want to open a conversation and see the full message history, so that I can read what the dispatcher sent.\n\nScope Notes:\nRead-only view; compose in US-EP2-03.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- US-EP2-01\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display messages in a clear, chronological thread\n- Show sender identity and timestamps\nDesign Constraints:\n- Scrollable for long conversations\n- Readable typography for in-vehicle use\n- Consistent with EW Navigation design system\n\nAcceptance Criteria:\n- Given I select a conversation from the list\n  When the thread opens\n  Then I see all messages in chronological order with timestamps\n- Given the conversation has many messages\n  When I scroll\n  Then older messages load without performance issues","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-03 — Driver sends a message","User Story:\nAs a Company Driver, I want to compose and send a text message to the dispatcher, so that I can reply or ask questions.\n\nScope Notes:\nText only; attachments in EP-6.\n\nPRD Requirement(s): FR-2\n\nDependencies:\n- US-EP2-02, EP-1\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add compose area to message thread screen\n- Simple text input with send button\nDesign Constraints:\n- Keyboard handling for mobile\n- Minimal interaction while driving (designed for use at stops)\n\nAcceptance Criteria:\n- Given I am in a conversation thread\n  When I type a message and tap send\n  Then the message is submitted and appears in the thread\n- Given I send a message\n  When it is delivered\n  Then the dispatcher receives it in <5s (P95)","","Driver Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-2,prio_must,phase_1"
Story,"US-EP2-04 — Driver sees dispatcher context","User Story:\nAs a Company Driver, I want to see who is messaging me (dispatcher name/role), so that I know who I am communicating with.\n\nScope Notes:\nDisplay dispatcher identity; derived from CIAM.\n\nPRD Requirement(s): FR-6 (partial)\n\nDependencies:\n- CIAM, US-EP2-02\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Display dispatcher name in conversation header\nDesign Constraints:\n- Consistent with EW Navigation header patterns\n\nAcceptance Criteria:\n- Given I open a conversation\n  When the thread loads\n  Then I see the dispatcher's name or identifier in the header","","Driver Chat Experience","Should","","initiative_ew-navigation-chat,source_cursor,ep_EP-2,fr_FR-6,prio_should,phase_1"
Story,"US-EP3-01 — Dispatcher views driver list for chat","User Story:\nAs a Dispatcher, I want to see a list of drivers linked to my company, so that I can select one to message.\n\nScope Notes:\nUses existing EW Office driver list; no new driver management.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- CIAM (company linkage), existing driver list API\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add chat entry point to existing driver list or new chat panel\n- Allow quick driver selection for messaging\nDesign Constraints:\n- Consistent with EW Office design system\n- Accessible and filterable for large driver lists\n\nAcceptance Criteria:\n- Given I am logged into EW Office\n  When I open the chat section\n  Then I see a list of drivers linked to my company\n- Given I have many drivers\n  When I scroll or search\n  Then the list loads and filters responsively","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-02 — Dispatcher initiates a new chat","User Story:\nAs a Dispatcher, I want to select a driver and start a new conversation, so that I can send them a message.\n\nScope Notes:\n1:1 chat only; broadcast in EP-8.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-01, EP-1\n\nDesign Required: Yes\nDesign Type: Component update\nDesign Intent:\n- Add 'Start Chat' action to driver list/card\n- Open chat panel or modal for new conversation\nDesign Constraints:\n- Consistent with EW Office interaction patterns\n\nAcceptance Criteria:\n- Given I select a driver from the list\n  When I click 'Start Chat' (or equivalent)\n  Then a new conversation is created and I can compose a message\n- Given I start a chat with a driver I've messaged before\n  When the conversation opens\n  Then I see the existing conversation history","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-03 — Dispatcher views conversation list","User Story:\nAs a Dispatcher, I want to see a list of my active conversations, so that I can manage ongoing communication with drivers.\n\nScope Notes:\nList view with recent message preview.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- EP-1, EP-5\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display conversation list with unread indicators and previews\n- Enable quick navigation to active conversations\nDesign Constraints:\n- Real-time updates when new messages arrive\n- Consistent with EW Office design system\n\nAcceptance Criteria:\n- Given I open the chat section\n  When conversations exist\n  Then I see a list sorted by most recent message with preview text\n- Given a new message arrives\n  When I am viewing the list\n  Then the list updates in real-time","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-04 — Dispatcher views message thread","User Story:\nAs a Dispatcher, I want to open a conversation and see the full message history with a driver, so that I can read their responses.\n\nScope Notes:\nRead + compose.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-03\n\nDesign Required: Yes\nDesign Type: New screen\nDesign Intent:\n- Display messages in chronological thread format\n- Include compose area for replies\nDesign Constraints:\n- Scrollable for long conversations\n- Real-time updates when new messages arrive\n\nAcceptance Criteria:\n- Given I select a conversation\n  When the thread opens\n  Then I see all messages in chronological order\n- Given the conversation updates while open\n  When a new message arrives\n  Then it appears in the thread in real-time","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
Story,"US-EP3-05 — Dispatcher sends a message","User Story:\nAs a Dispatcher, I want to compose and send a text message to a driver, so that I can give instructions or updates.\n\nScope Notes:\nText only; attachments in EP-6.\n\nPRD Requirement(s): FR-1\n\nDependencies:\n- US-EP3-04, EP-1\n\nDesign Required: Yes\nDesign Type: Existing screen update\nDesign Intent:\n- Add compose area with text input and send button\nDesign Constraints:\n- Keyboard shortcuts for efficiency (Enter to send, etc.)\n\nAcceptance Criteria:\n- Given I am in a conversation thread\n  When I type a message and click send\n  Then the message is submitted and appears in the thread\n- Given I send a message\n  When it is delivered\n  Then the driver receives it in <5s (P95)","","Dispatcher Chat Experience","Must","","initiative_ew-navigation-chat,source_cursor,ep_EP-3,fr_FR-1,prio_must,phase_1"
